id_zona,nom_zona,id_ciudad,barrio_referencia,latitud_centroide,longitud_centroide,nivel_trafico_prom,tip_zona,distancia_bodega_km
135,Región Caribe,BAQ,El Recreo,5.6561,-77.03116,16.4,Regional,35.06
91,Región Andina,MZL,Chipre,10.15031,-73.9614,38.0,Regional,29.48
269,Región Caribe,CTG,Getsemaní,10.98778,-74.26419,26.0,Local,12.89
48,Región Andina,MDE,Belén,4.73245,-72.47417,20.7,Regional,23.9
94,Región Andina,MZL,El Cable,7.83389,-75.69947,38.0,Regional,54.96
294,Región Caribe,BAQ,Boston,3.8801,-75.87877,16.4,Local,35.82
144,Región Andina,CAL,Obrero,3.8801,-74.73584,20.6,Local,62.46
138,Región Andina,CUC,Guaimaral,10.98778,-74.26419,31.0,Local,30.18
50,Región Andina,CAL,San Fernando,3.8801,-77.03116,20.6,Local,78.37
183,Región Andina,CAL,El Peñón,5.6561,-77.03116,20.6,Local,68.77
33,Región Caribe,SMR,Taganga,10.15031,-75.87877,35.0,Regional,32.04
33,Región Caribe,BAQ,El Prado,7.83389,-74.26419,16.4,Regional,26.82
8,Región Andina,BGA,Cabecera del Llano,5.20856,-77.03116,28.5,Local,42.04
63,Región Andina,MDE,El Poblado,6.46838,-77.03116,20.7,Regional,3.27
20,Región Andina,PER,Pinares,5.6561,-74.26419,33.5,Regional,78.2
237,Región Andina,CUC,El Centro,3.8801,-75.69947,31.0,Local,22.35
129,Región Andina,PER,Pinares,10.15031,-77.03116,33.5,Regional,86.27
224,Región Andina,PER,El Poblado,6.46838,-74.26419,33.5,Regional,6.71
63,Región Andina,PER,Circunvalar,3.8801,-74.73584,33.5,Regional,29.67
11,Región Andina,PER,Corales,6.46838,-74.95472,33.5,Regional,58.98
58,Región Andina,MDE,Laureles,10.15031,-75.69947,20.7,Local,56.53
268,Región Andina,CAL,Ciudad Jardín,3.8801,-72.47417,20.6,Regional,4.69
65,Región Andina,BOG,La Candelaria,6.46838,-72.47417,18.9,Regional,43.05
216,Región Andina,MZL,Palermo,3.8801,-75.87877,38.0,Local,38.34
278,Región Caribe,BAQ,Boston,6.46838,-74.95472,16.4,Regional,54.75
117,Región Andina,BGA,Cabecera del Llano,10.98778,-73.26022,28.5,Local,78.87
214,Región Andina,BGA,El Centro,7.83389,-75.87877,28.5,Regional,54.57
46,Región Caribe,BAQ,Alto Prado,4.73245,-74.73584,16.4,Local,94.48
175,Región Caribe,SMR,Mamatoco,8.79577,-72.47417,35.0,Regional,82.17
6,Región Andina,BOG,Chapinero,5.20856,-77.03116,18.9,Regional,66.13
261,Región Andina,BOG,Chapinero,8.79577,-75.87877,18.9,Regional,97.05
120,Región Andina,PER,Corales,10.98778,-77.03116,33.5,Regional,95.15
192,Región Andina,PER,Circunvalar,8.79577,-75.87877,33.5,Regional,86.26
243,Región Caribe,CTG,Manga,4.73245,-73.26022,26.0,Regional,55.33
211,Región Andina,MDE,Laureles,10.15031,-75.69947,20.7,Regional,16.67
268,Región Andina,BOG,Santa Fe,8.79577,-74.26419,18.9,Local,95.09
191,Región Caribe,BAQ,Boston,5.6561,-73.9614,16.4,Regional,9.34
52,Región Caribe,BAQ,El Prado,10.15031,-75.69947,16.4,Local,71.76
23,Región Andina,CUC,El Centro,5.6561,-74.95472,31.0,Regional,31.36
265,Región Caribe,SMR,Centro Histórico,10.15031,-72.47417,35.0,Local,96.35
200,Región Andina,CAL,Ciudad Jardín,6.46838,-73.9614,20.6,Regional,15.05
98,Región Andina,BGA,Sotomayor,6.46838,-72.47417,28.5,Regional,5.12
183,Región Andina,BGA,Sotomayor,5.20856,-74.73584,28.5,Regional,54.58
5,Región Andina,MDE,Prado,7.83389,-72.47417,20.7,Regional,97.64
276,Región Andina,MZL,Palermo,5.6561,-77.03116,38.0,Local,36.21
75,Región Caribe,BAQ,Alto Prado,5.20856,-74.26419,16.4,Local,32.15
2,Región Andina,CAL,Ciudad Jardín,3.8801,-74.73584,20.6,Local,51.98
273,Región Andina,PER,Álamos,6.46838,-77.03116,33.5,Local,30.96
168,Región Caribe,BAQ,El Recreo,3.8801,-75.69947,16.4,Local,11.52
155,Región Andina,CAL,San Antonio,8.79577,-75.87877,20.6,Regional,38.74
62,Región Caribe,CTG,Manga,10.98778,-73.9614,26.0,Local,91.04
234,Región Andina,PER,Corales,5.20856,-77.03116,33.5,Regional,68.67
45,Región Andina,CAL,San Fernando,10.98778,-73.26022,20.6,Regional,7.83
116,Región Andina,BGA,Sotomayor,5.6561,-73.9614,28.5,Regional,75.58
170,Región Andina,MZL,Chipre,7.83389,-74.95472,38.0,Regional,51.12
101,Región Andina,MZL,La Enea,8.79577,-72.47417,38.0,Local,32.05
180,Región Andina,PER,Pinares,5.6561,-72.47417,33.5,Regional,76.12
291,Región Andina,MDE,Laureles,3.8801,-74.95472,20.7,Regional,16.28
61,Región Andina,BGA,El Centro,3.8801,-72.47417,28.5,Regional,33.57
280,Región Caribe,CTG,Getsemaní,8.79577,-75.87877,26.0,Local,27.1
288,Región Andina,PER,El Poblado,10.98778,-75.87877,33.5,Regional,97.25
206,Región Andina,BGA,San Alonso,8.79577,-75.69947,28.5,Local,57.86
210,Región Caribe,SMR,Taganga,8.79577,-73.9614,35.0,Local,71.93
280,Región Caribe,CTG,Manga,4.73245,-73.9614,26.0,Local,90.95
170,Región Andina,MZL,El Cable,5.6561,-73.9614,38.0,Regional,35.86
287,Región Caribe,BAQ,Riomar,6.46838,-73.9614,16.4,Local,2.04
213,Región Andina,PER,Pinares,4.73245,-75.69947,33.5,Regional,58.32
113,Región Andina,PER,El Poblado,5.20856,-75.69947,33.5,Regional,2.16
108,Región Andina,PER,Pinares,4.73245,-77.03116,33.5,Regional,2.76
41,Región Andina,CUC,Guaimaral,3.8801,-73.9614,31.0,Local,63.39
49,Región Caribe,SMR,Centro Histórico,4.73245,-77.03116,35.0,Regional,77.12
106,Región Andina,MDE,Prado,8.79577,-74.73584,20.7,Local,94.37
214,Región Andina,BGA,La Concordia,5.6561,-77.03116,28.5,Local,9.34
215,Región Andina,CAL,San Antonio,3.8801,-73.26022,20.6,Local,3.8
119,Región Caribe,SMR,Bastidas,5.6561,-75.87877,35.0,Regional,73.69
246,Región Andina,PER,Circunvalar,4.73245,-73.26022,33.5,Regional,35.39
19,Región Andina,PER,Pinares,10.98778,-74.95472,33.5,Local,84.06
188,Región Andina,BOG,La Candelaria,7.83389,-73.26022,18.9,Regional,48.59
263,Región Andina,MDE,Belén,3.8801,-74.73584,20.7,Regional,37.39
211,Región Andina,MDE,El Poblado,10.15031,-75.87877,20.7,Regional,58.59
261,Región Caribe,CTG,Manga,8.79577,-72.47417,26.0,Regional,62.02
174,Región Caribe,CTG,Getsemaní,5.20856,-75.69947,26.0,Local,32.48
90,Región Andina,CAL,Ciudad Jardín,5.20856,-75.87877,20.6,Regional,98.9
110,Región Andina,CAL,San Antonio,5.6561,-74.95472,20.6,Regional,92.62
261,Región Andina,MDE,Prado,6.46838,-74.26419,20.7,Local,21.76
139,Región Caribe,SMR,Bastidas,5.6561,-74.95472,35.0,Local,21.92
167,Región Caribe,SMR,Taganga,4.73245,-74.26419,35.0,Regional,68.17
277,Región Caribe,SMR,Centro Histórico,5.6561,-75.69947,35.0,Local,61.91
79,Región Andina,CUC,La Playa,6.46838,-74.26419,31.0,Local,55.58
18,Región Andina,CUC,San Luis,6.46838,-73.9614,31.0,Regional,7.05
277,Región Caribe,BAQ,Riomar,8.79577,-73.26022,16.4,Local,14.78
28,Región Caribe,CTG,El Laguito,7.83389,-74.73584,26.0,Local,17.66
251,Región Andina,MZL,Milán,8.79577,-73.26022,38.0,Local,64.48
187,Región Andina,BGA,La Concordia,5.6561,-74.73584,28.5,Local,22.87
209,Región Caribe,CTG,El Laguito,4.73245,-73.26022,26.0,Regional,68.36
21,Región Caribe,BAQ,El Recreo,4.73245,-74.73584,16.4,Local,71.77
132,Región Andina,BOG,La Candelaria,8.79577,-74.26419,18.9,Local,10.37
47,Región Caribe,BAQ,El Recreo,4.73245,-73.26022,16.4,Regional,50.82
88,Región Andina,MDE,Laureles,7.83389,-73.9614,20.7,Local,83.48
82,Región Caribe,CTG,Manga,4.73245,-73.9614,26.0,Regional,22.06
186,Región Andina,MZL,Palermo,7.83389,-72.47417,38.0,Regional,46.48
287,Región Caribe,CTG,Manga,6.46838,-74.95472,26.0,Regional,93.58
109,Región Andina,CAL,El Peñón,7.83389,-74.26419,20.6,Local,87.99
81,Región Andina,CAL,San Antonio,6.46838,-73.26022,20.6,Local,36.04
97,Región Andina,MDE,Belén,5.6561,-74.73584,20.7,Local,64.47
138,Región Caribe,SMR,Taganga,5.20856,-77.03116,35.0,Regional,97.13
267,Región Andina,MZL,La Enea,7.83389,-73.9614,38.0,Regional,1.94
71,Región Andina,PER,El Poblado,5.20856,-74.95472,33.5,Local,49.33
184,Región Caribe,SMR,Bastidas,3.8801,-73.9614,35.0,Regional,23.04
25,Región Andina,CUC,Guaimaral,6.46838,-74.73584,31.0,Regional,63.67
41,Región Andina,BGA,San Alonso,5.6561,-74.26419,28.5,Regional,96.77
270,Región Andina,PER,Corales,10.15031,-74.26419,33.5,Local,55.06
42,Región Andina,BGA,La Concordia,5.20856,-72.47417,28.5,Local,30.38
232,Región Andina,CAL,Obrero,10.15031,-72.47417,20.6,Local,53.24
295,Región Andina,MZL,La Enea,4.73245,-74.73584,38.0,Regional,80.11
164,Región Caribe,SMR,Centro Histórico,4.73245,-73.26022,35.0,Local,3.17
87,Región Andina,CAL,Obrero,4.73245,-73.9614,20.6,Regional,39.79
37,Región Andina,BOG,Teusaquillo,5.20856,-72.47417,18.9,Local,97.21
158,Región Andina,PER,Pinares,5.6561,-74.73584,33.5,Local,72.01
240,Región Andina,PER,Álamos,10.98778,-75.87877,33.5,Regional,71.98
161,Región Andina,MDE,Belén,7.83389,-73.26022,20.7,Local,51.89
95,Región Caribe,CTG,Centro Histórico,8.79577,-73.26022,26.0,Local,25.67
196,Región Andina,CAL,San Fernando,6.46838,-72.47417,20.6,Local,59.25
197,Región Caribe,CTG,Bocagrande,8.79577,-75.87877,26.0,Regional,94.6
267,Región Caribe,BAQ,Riomar,5.20856,-74.26419,16.4,Regional,30.17
298,Región Andina,MZL,El Cable,7.83389,-73.9614,38.0,Regional,86.5
86,Región Andina,CUC,Guaimaral,8.79577,-74.73584,31.0,Local,87.08
112,Región Andina,CUC,Guaimaral,10.15031,-73.9614,31.0,Local,37.48
208,Región Caribe,SMR,El Rodadero,10.15031,-74.95472,35.0,Local,17.84
3,Región Andina,MZL,Palermo,10.15031,-74.95472,38.0,Local,40.69
87,Región Andina,BOG,Teusaquillo,8.79577,-75.69947,18.9,Regional,27.01
86,Región Andina,PER,El Poblado,5.6561,-72.47417,33.5,Local,9.37
230,Región Caribe,SMR,Mamatoco,5.6561,-75.87877,35.0,Local,12.45
240,Región Andina,PER,Corales,10.15031,-74.26419,33.5,Local,96.03
247,Región Andina,MDE,El Poblado,8.79577,-74.95472,20.7,Regional,65.39
34,Región Andina,CAL,Ciudad Jardín,7.83389,-72.47417,20.6,Local,17.67
23,Región Andina,BOG,Santa Fe,4.73245,-75.87877,18.9,Regional,29.4
280,Región Andina,CAL,El Peñón,3.8801,-73.9614,20.6,Local,88.68
278,Región Caribe,CTG,Getsemaní,4.73245,-74.73584,26.0,Local,82.2
45,Región Caribe,SMR,Centro Histórico,8.79577,-73.26022,35.0,Local,39.91
285,Región Andina,BOG,Usaquén,8.79577,-75.87877,18.9,Regional,41.94
122,Región Andina,CUC,La Playa,7.83389,-75.87877,31.0,Local,18.67
205,Región Caribe,SMR,Taganga,4.73245,-74.73584,35.0,Local,75.88
177,Región Caribe,CTG,Bocagrande,5.6561,-74.73584,26.0,Local,10.15
125,Región Andina,CUC,El Centro,7.83389,-72.47417,31.0,Local,86.4
282,Región Andina,PER,El Poblado,10.98778,-77.03116,33.5,Local,18.39
46,Región Andina,BOG,Santa Fe,7.83389,-74.95472,18.9,Regional,81.63
183,Región Andina,CUC,Caobos,5.6561,-75.69947,31.0,Local,34.52
194,Región Andina,BGA,Sotomayor,10.15031,-74.73584,28.5,Regional,24.56
291,Región Andina,CUC,La Playa,10.98778,-75.87877,31.0,Regional,67.87
15,Región Caribe,SMR,Taganga,4.73245,-74.73584,35.0,Local,2.04
125,Región Caribe,CTG,Centro Histórico,10.98778,-74.73584,26.0,Local,59.4
245,Región Andina,CUC,Caobos,5.20856,-77.03116,31.0,Local,95.5
271,Región Caribe,BAQ,Riomar,3.8801,-75.87877,16.4,Local,1.39
11,Región Andina,MZL,La Enea,3.8801,-74.26419,38.0,Regional,94.09
3,Región Caribe,BAQ,El Recreo,10.98778,-75.69947,16.4,Local,38.73
167,Región Andina,CAL,San Fernando,10.15031,-75.69947,20.6,Local,23.51
225,Región Andina,MZL,La Enea,3.8801,-72.47417,38.0,Regional,95.37
211,Región Andina,BGA,San Alonso,5.20856,-75.87877,28.5,Regional,45.15
53,Región Andina,PER,Corales,10.15031,-72.47417,33.5,Local,81.99
151,Región Andina,MDE,Belén,8.79577,-73.26022,20.7,Local,22.12
52,Región Andina,PER,Álamos,4.73245,-74.73584,33.5,Regional,17.42
275,Región Caribe,BAQ,El Recreo,5.6561,-74.26419,16.4,Local,60.55
278,Región Andina,CUC,Guaimaral,8.79577,-73.26022,31.0,Regional,55.36
232,Región Andina,BGA,Sotomayor,7.83389,-75.87877,28.5,Local,35.42
101,Región Caribe,SMR,Taganga,10.98778,-74.26419,35.0,Local,30.9
65,Región Andina,MZL,La Enea,7.83389,-73.9614,38.0,Regional,67.34
158,Región Caribe,CTG,Bocagrande,10.15031,-75.87877,26.0,Regional,68.41
212,Región Caribe,SMR,Centro Histórico,5.6561,-75.69947,35.0,Regional,30.5
180,Región Andina,CUC,El Centro,5.6561,-73.26022,31.0,Local,51.1
220,Región Andina,BOG,Santa Fe,6.46838,-75.69947,18.9,Regional,42.71
194,Región Andina,MDE,El estadio,10.15031,-74.73584,20.7,Local,56.36
90,Región Andina,CAL,San Fernando,5.6561,-74.26419,20.6,Regional,24.38
81,Región Caribe,CTG,Centro Histórico,4.73245,-72.47417,26.0,Local,99.75
44,Región Andina,PER,El Poblado,10.98778,-75.69947,33.5,Local,4.08
235,Región Andina,MDE,Prado,4.73245,-74.26419,20.7,Regional,40.36
51,Región Caribe,SMR,Bastidas,5.6561,-74.26419,35.0,Local,99.36
2,Región Andina,PER,El Poblado,5.20856,-75.69947,33.5,Local,31.75
236,Región Andina,PER,Pinares,10.15031,-74.95472,33.5,Local,66.23
98,Región Andina,CAL,Obrero,7.83389,-77.03116,20.6,Regional,82.85
64,Región Andina,PER,El Poblado,10.15031,-74.73584,33.5,Regional,59.85
239,Región Andina,MDE,El Poblado,5.6561,-75.69947,20.7,Regional,15.79
238,Región Caribe,BAQ,El Recreo,5.6561,-72.47417,16.4,Local,10.03
230,Región Caribe,CTG,Centro Histórico,8.79577,-74.73584,26.0,Regional,50.29
209,Región Andina,CAL,El Peñón,5.6561,-75.69947,20.6,Regional,99.77
280,Región Andina,CAL,Obrero,8.79577,-72.47417,20.6,Local,26.32
87,Región Andina,MZL,El Cable,6.46838,-75.87877,38.0,Local,11.79
158,Región Andina,CUC,San Luis,7.83389,-74.73584,31.0,Regional,61.03
187,Región Andina,CAL,San Antonio,6.46838,-74.73584,20.6,Regional,69.79
136,Región Andina,CAL,Ciudad Jardín,4.73245,-74.95472,20.6,Regional,58.21
160,Región Andina,CUC,La Playa,5.6561,-75.69947,31.0,Local,86.81
18,Región Caribe,SMR,Mamatoco,10.98778,-75.69947,35.0,Regional,42.49
212,Región Caribe,SMR,Taganga,6.46838,-74.73584,35.0,Local,46.55
184,Región Andina,CUC,Guaimaral,3.8801,-73.26022,31.0,Regional,44.74
127,Región Andina,BGA,Cabecera del Llano,6.46838,-73.9614,28.5,Local,31.82
163,Región Andina,CUC,Caobos,4.73245,-74.26419,31.0,Regional,59.9
237,Región Andina,MZL,Milán,6.46838,-74.73584,38.0,Regional,65.05
221,Región Andina,CAL,San Fernando,3.8801,-77.03116,20.6,Regional,97.59
8,Región Andina,CUC,San Luis,6.46838,-75.87877,31.0,Regional,38.36
246,Región Andina,PER,El Poblado,5.6561,-74.95472,33.5,Regional,79.44
12,Región Andina,MZL,Chipre,5.20856,-77.03116,38.0,Local,47.13
222,Región Andina,CAL,Ciudad Jardín,5.20856,-73.26022,20.6,Regional,77.2
132,Región Andina,BGA,Cabecera del Llano,6.46838,-73.26022,28.5,Local,91.53
118,Región Andina,MDE,Laureles,3.8801,-74.26419,20.7,Local,6.71
277,Región Andina,PER,Pinares,4.73245,-74.95472,33.5,Local,93.58
28,Región Andina,CUC,San Luis,8.79577,-74.73584,31.0,Local,54.12
118,Región Andina,CAL,San Antonio,10.15031,-75.87877,20.6,Local,87.54
37,Región Andina,CAL,Obrero,5.6561,-74.73584,20.6,Regional,79.63
288,Región Andina,BOG,Usaquén,5.20856,-77.03116,18.9,Regional,14.56
286,Región Andina,MZL,La Enea,10.15031,-74.73584,38.0,Local,92.3
77,Región Andina,BOG,La Candelaria,8.79577,-74.95472,18.9,Local,42.05
25,Región Andina,CUC,Caobos,3.8801,-74.95472,31.0,Regional,40.32
245,Región Andina,CUC,El Centro,5.20856,-74.73584,31.0,Local,41.85
49,Región Andina,BOG,Chapinero,10.15031,-73.9614,18.9,Regional,29.46
237,Región Andina,MDE,Prado,10.98778,-75.69947,20.7,Local,27.7
152,Región Andina,MDE,El Poblado,3.8801,-75.69947,20.7,Local,32.82
40,Región Andina,MDE,El estadio,10.15031,-74.26419,20.7,Regional,47.16
6,Región Andina,CAL,Ciudad Jardín,5.20856,-73.26022,20.6,Local,85.89
100,Región Andina,BGA,El Centro,5.20856,-74.26419,28.5,Regional,55.69
288,Región Andina,CAL,San Antonio,3.8801,-74.26419,20.6,Local,31.06
179,Región Andina,MDE,Laureles,8.79577,-75.87877,20.7,Local,46.93
130,Región Caribe,BAQ,El Prado,4.73245,-74.95472,16.4,Regional,20.22
242,Región Andina,BGA,El Centro,5.20856,-75.69947,28.5,Local,59.21
185,Región Andina,MDE,Belén,5.6561,-73.26022,20.7,Local,76.25
147,Región Andina,CUC,Guaimaral,4.73245,-74.26419,31.0,Local,14.39
116,Región Caribe,SMR,Taganga,3.8801,-73.9614,35.0,Regional,35.17
78,Región Andina,BOG,La Candelaria,10.15031,-72.47417,18.9,Regional,91.8
53,Región Andina,MZL,Palermo,5.6561,-74.73584,38.0,Regional,89.05
213,Región Andina,CAL,San Antonio,10.15031,-74.73584,20.6,Regional,26.58
68,Región Andina,PER,El Poblado,6.46838,-77.03116,33.5,Local,29.11
47,Región Andina,BGA,Sotomayor,5.6561,-75.87877,28.5,Local,75.88
162,Región Caribe,SMR,Centro Histórico,10.98778,-73.9614,35.0,Local,2.12
256,Región Andina,PER,Corales,5.20856,-74.73584,33.5,Regional,10.28
113,Región Andina,PER,El Poblado,7.83389,-73.9614,33.5,Regional,54.52
251,Región Andina,CUC,El Centro,8.79577,-72.47417,31.0,Local,72.0
104,Región Andina,PER,Corales,4.73245,-75.87877,33.5,Regional,87.51
177,Región Caribe,SMR,Bastidas,4.73245,-75.69947,35.0,Local,63.76
27,Región Andina,BOG,Teusaquillo,5.20856,-73.9614,18.9,Local,43.91
243,Región Caribe,CTG,Centro Histórico,3.8801,-77.03116,26.0,Local,15.43
136,Región Andina,PER,El Poblado,5.20856,-72.47417,33.5,Local,95.79
107,Región Andina,MZL,Chipre,7.83389,-74.95472,38.0,Local,23.33
5,Región Caribe,CTG,Bocagrande,6.46838,-74.26419,26.0,Local,95.55
89,Región Caribe,SMR,Bastidas,5.20856,-72.47417,35.0,Local,47.99
155,Región Andina,MDE,Laureles,10.98778,-77.03116,20.7,Regional,70.42
224,Región Andina,MZL,Milán,5.6561,-74.26419,38.0,Regional,29.33
193,Región Andina,MDE,El estadio,5.20856,-73.26022,20.7,Local,9.85
294,Región Andina,CUC,El Centro,5.6561,-74.95472,31.0,Regional,54.82
123,Región Andina,PER,Circunvalar,5.6561,-72.47417,33.5,Local,97.87
96,Región Andina,MDE,El Poblado,6.46838,-75.69947,20.7,Regional,74.23
116,Región Caribe,BAQ,Riomar,5.20856,-74.95472,16.4,Regional,22.84
22,Región Caribe,CTG,Getsemaní,3.8801,-74.95472,26.0,Regional,84.33
142,Región Andina,CAL,San Fernando,8.79577,-74.26419,20.6,Regional,63.45
269,Región Andina,CAL,Obrero,6.46838,-73.9614,20.6,Regional,76.32
62,Región Andina,PER,Circunvalar,5.6561,-75.87877,33.5,Local,42.47
67,Región Andina,BOG,Chapinero,8.79577,-73.26022,18.9,Regional,52.64
116,Región Andina,CUC,San Luis,7.83389,-74.26419,31.0,Regional,91.48
88,Región Andina,BOG,Teusaquillo,10.15031,-72.47417,18.9,Regional,68.27
266,Región Caribe,CTG,Bocagrande,8.79577,-75.87877,26.0,Local,28.57
204,Región Andina,BGA,Cabecera del Llano,5.6561,-74.95472,28.5,Local,80.59
190,Región Andina,MZL,La Enea,3.8801,-74.73584,38.0,Local,96.36
29,Región Caribe,SMR,El Rodadero,5.20856,-74.73584,35.0,Local,1.04
10,Región Andina,PER,El Poblado,5.20856,-77.03116,33.5,Regional,63.84
56,Región Andina,BOG,Santa Fe,4.73245,-77.03116,18.9,Local,77.17
80,Región Andina,MDE,Belén,5.20856,-74.26419,20.7,Local,75.46
232,Región Andina,MDE,El Poblado,7.83389,-77.03116,20.7,Local,4.84
258,Región Andina,BOG,Santa Fe,8.79577,-72.47417,18.9,Regional,31.87
50,Región Caribe,SMR,Bastidas,3.8801,-74.73584,35.0,Regional,69.75
157,Región Andina,CAL,San Fernando,4.73245,-77.03116,20.6,Local,89.91
